Indicator,Category,BASE,ST Elevé,ST Faible,Très élevée,Assez élevée,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.6249998999999999,0.13710049684581757,0.33499989999999996,0.29261499,0.22954815,0.0788904,0.05821005,0.00573651,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Prof Intermed,896.9079,0.6428419239032236,0.13744532744108953,0.35274314000000007,0.2899795,0.21483209,0.08813441,0.04931086,0.005,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Total-CSP-,1674.09,0.609357322485649,0.1826588773602375,0.32917472,0.28018273,0.18775669,0.06942375,0.11323501000000001,0.02022688,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Salaried,956.6466,0.6184099750106256,0.1749999,0.3300378199999999,0.2876245,0.185,0.05320078,0.12382295,0.020313949999999997,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Blue collar,717.4432,0.5972871441251377,0.19017282483128975,0.32702686000000003,0.27025986,0.19242973,0.09105575,0.09911706,0.02011079,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Far left,187.3446,0.725,0.085,0.42882650000000005,0.29719117,0.1749999,0.05611712,0.027865410000000004,0.0149999,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Radical left,828.7407,0.6914190409617871,0.10361857454327994,0.3908058300000001,0.30061345,0.18778888999999999,0.06398997,0.03962861,0.01717406,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Left,1430.296,0.691050733554453,0.10020785907252763,0.3831134299999999,0.30793696,0.19812018000000003,0.05787217,0.04233565,0.01062238,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,PC/LFI,641.3963,0.6816874372365416,0.10935401404716552,0.38007469,0.3016129,0.19127176,0.06628952,0.04306448000000001,0.01768718,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,PS,449.3176,0.6203872272085491,0.10905426362110007,0.30315283,0.31723485,0.26919644,0.05257295,0.05648132,0.00136212,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,EELV,339.583,0.8022303825574307,0.07122726991633857,0.49465168,0.307579,0.1170106,0.04898517,0.02224211,0.00953122,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,EM,672.9198,0.4978422391494499,0.18770320029221907,0.21743110999999998,0.28041083,0.30945493,0.11742274,0.07028049,0.0049999,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,MoDem,161.1257,0.565,0.12488156762080786,0.205,0.35698988,0.30398726,0.07334094,0.05154065,0.00914127,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Right,573.0042,0.475,0.16920699708658332,0.225,0.24979922,0.3534903,0.11006066,0.05914641,0.0025034100000000006,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,UDI/PR,89.32552,0.5110683934445609,0.15749642431412658,0.24556822999999997,0.2649999,0.3319354200000001,0.10809958,0.04939687,0,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,LR,397.5368,0.45528187579112167,0.17319314840789582,0.21064211,0.245,0.36755631,0.11917503,0.05401817,0.00360838,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Radical right,1008.8,0.5591177636796194,0.17687093576526566,0.295,0.26411709999999994,0.25381265,0.09824501,0.07862598,0.01019926,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Debout la France,86.14185,0.5271970592691009,0.16295494002044303,0.26986825,0.25732881,0.30984812,0.07003212,0.09292277,0,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,Reconquete,205.4045,0.4313258472915637,0.18464020992724112,0.23975288,0.19157297,0.3686667,0.14992641,0.03471377,0.01536738,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,RN,717.2537,0.5995475520028687,0.17631738950945808,0.3133537,0.28619385,0.21419144,0.08683303,0.08948433,0.00994416,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Political similarity,No preference,1860.95,0.5899212767672426,0.2043472957360488,0.33935173,0.25056966,0.17502356,0.07008727,0.13425997,0.03070847,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Total-left,1649.278,0.6874887071797476,0.10471939842767562,0.415,0.27248843,0.19569927,0.06143616,0.04328328,0.01209286,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Very Left,217.9165,0.7984530772107665,0.075,0.59749858,0.20095399,0.12216545999999999,0.05641643,0.01811879,0.00484684,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Left,1431.362,0.6705947901369465,0.1093147645389496,0.38627035,0.28432416,0.20689434000000004,0.06220037,0.047114409999999995,0.013196009999999998,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Center,776.1196,0.5949998999999999,0.13612889044420473,0.27310031,0.32356714,0.26086662,0.09045504,0.0456738,0.00633675,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Total-right,1622.94,0.5249999,0.16913188411155064,0.25477276,0.27371147,0.29699724,0.10672452,0.06240736,0.00538589,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Right,1193.119,0.529386004246014,0.16356859625904877,0.25725925,0.27212684,0.30204529999999996,0.10216248,0.06140613,0.005,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Very Right,429.8207,0.5259804844205969,0.18457496346732488,0.24787057,0.27811015,0.2817334299999999,0.11938836,0.0649999,0.00789759,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Both left and Right,200.4265,0.5149999,0.1668325795241647,0.32395097,0.19377083,0.30731136,0.1011505,0.06568203,0.00813473,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Politics,Neither left nor right,1673.316,0.5663614643020206,0.22999821910505844,0.3071903700000001,0.25968018,0.1649999,0.07165443,0.15834373,0.03813139,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Loss of job risk,High risk,556.2398,0.6879259628670944,0.1649999,0.4097267,0.27819908,0.13778482,0.08346918,0.08341648999999998,0.00740358,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Loss of job risk,Low risk,1874.312,0.6072884343695181,0.15196066610041448,0.32917187,0.27834389,0.23210346,0.0649999,0.08673348000000002,0.0086474,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
Loss of job risk,Zero risk,3478.817,0.5706227145607257,0.16834196797359563,0.29813554,0.27248754,0.23843436,0.09165147,0.07669052,0.02260257,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Arthaud,24.07418,0.7509402189399598,0.11041925415528173,0.39203952,0.3589007,0.11281626,0.03094149,0.07947776,0.02582415,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Poutou,32.85668,0.7555087732540232,0.0841011325550847,0.57720104,0.17830766999999997,0.1529912,0.01383216,0.07026897,0.00739894,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Roussel,98.04205,0.5449999,0.175,0.24499990000000002,0.30054070000000005,0.26111031,0.06739975,0.10534704,0.020602299999999997,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Melenchon,942.3053,0.675581576374451,0.1117422347088571,0.425,0.25058175000000005,0.19285575,0.05068375,0.06105841,0.01982034,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Hidalgo,75.31895,0.6541807871724181,0.085,0.32213845,0.33204247,0.26285244,0.05664491,0.02632194,0,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Jadot,198.8808,0.7449998999999999,0.10618164247126922,0.4949999,0.25176444,0.13858356,0.02894585,0.07723576,0.00847049,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Macron,1195.294,0.5185447262347171,0.1802368287634674,0.225,0.2935435200000001,0.28831133,0.09632199,0.08391484,0.012908320000000001,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Pecresse,205.1207,0.45033792298875736,0.15423036290340272,0.20089352,0.24944435000000004,0.38967798,0.11302442999999998,0.04120598,0.00575339,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Dupont-Aignan,88.56025,0.5985387349290455,0.14914546876279144,0.34353875999999994,0.255,0.2523158,0.10344692,0.04569852,0,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Zemmour,303.4525,0.48526606305764497,0.1549999,0.20910594,0.27616012,0.34134414999999996,0.10499990000000001,0.05250502,0.01588487,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Le Pen,993.0248,0.5700815327069374,0.1849999,0.29172341,0.27768853,0.235,0.1018324,0.08378869,0.00996697,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Lassalle,134.5409,0.5649999,0.1353386219357831,0.31068114,0.25497667,0.29900313,0.09793616999999999,0.0374025,0,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Blank/Null/NA,96.61228,0.555,0.2025825288462295,0.3358050200000001,0.21748809,0.19479667,0.03753191,0.1649999,0.04937841,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Blank,63.86856,0.595,0.1849999,0.34633128,0.24501273,0.17966305,0.03057733,0.1546995,0.043715859999999995,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
1st round vote,Null,19.09123,0.46926049290695254,0.31047208587398506,0.27547717,0.19378332,0.19351325,0.0764769,0.23399519,0.02675451,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
2nd round vote,Macron,2287.563,0.575,0.15208188801794748,0.28716914,0.28649139,0.26164674,0.0815536,0.0705282,0.01261348,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
2nd round vote,Le Pen,1619.66,0.5660342294061717,0.17629107343516542,0.30020595000000005,0.26746138,0.24499990000000002,0.09814825,0.07814288,0.01104164,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
2nd round vote,Blank/Null/NA,370.4173,0.6149998999999999,0.14032883993269213,0.34034432000000003,0.2749999,0.21792966999999996,0.05793061,0.08239823,0.02639727,"q13v13b_i2. Voici un certain nombre d'installations. Si l'une d'entre elle devait être construite près de votre commune, pensez-vous qu'elle présenterait une nuisance pour vous ou
pour votre environnement ?
- Une centrale nucléaire"
